readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,1036,SMALL DARK,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0,6,SMALL DARK SPOTS,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0,35,SMALL DARK  ,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0,18,SMALL DARK,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.866666667,15,SMALL DARK SPOTS,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,13,SMALL DARK  ,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,78,SMALL DARK,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,2,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0.5,2,DIFFUSE LIVE?,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.645833333,48,SPREAD OUT SLIGHTLY DIFFUSE,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,1,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,2,DIFFUSE LIVE?,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.157894737,38,SPREAD OUT SLIGHTLY DIFFUSE,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,1,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,10,DIFFUSE LIVE?,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.214285714,14,SPREAD OUT SLIGHTLY DIFFUSE,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,6,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,4,DIFFUSE LIVE?,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0,57,SPREAD OUT SLIGHTLY DIFFUSE,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0.333333333,3,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0.8,15,DIFFUSE LIVE?,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.266666667,30,SPREAD OUT SLIGHTLY DIFFUSE,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,NA,0,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,4,DIFFUSE LIVE?,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.176470588,17,SPREAD OUT SLIGHTLY DIFFUSE,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,NA,0,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,3,DIFFUSE LIVE?,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.837837838,37,SPREAD OUT SLIGHTLY DIFFUSE,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,NA,0,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,NA,0,DIFFUSE LIVE?,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,11,SPREAD OUT SLIGHTLY DIFFUSE,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,53,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,60,DIFFUSE LIVE?,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,727,SPREAD OUT SLIGHTLY DIFFUSE,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,NA,0,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,NA,0,DIFFUSE LIVE?,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,NA,0,SPREAD OUT SLIGHTLY DIFFUSE,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,2,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,1,DIFFUSE LIVE?,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,53,SPREAD OUT SLIGHTLY DIFFUSE,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,2,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,1,DIFFUSE LIVE?,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0,9,SPREAD OUT SLIGHTLY DIFFUSE,
